"","Date","Kitchen","Laundry","WH_AC","GAP","DateTime"
"1",2007-01-01,0,0.352,5.88,45.3667666666667,"2007-01-01 01:00:00"
"2",2007-01-02,0,0.341,6.562,20.86,"2007-01-02 00:00:00"
"3",2007-01-03,0,0.316,4.247,15.9762,"2007-01-03 00:00:00"
"4",2007-01-04,1.051,7.617,11.414,55.457,"2007-01-04 00:00:00"
"5",2007-01-05,1.483,0.394,6.53,44.0190333333333,"2007-01-05 00:00:00"
"6",2007-01-06,1.336,0.38,6.587,26.3732,"2007-01-06 00:00:00"
"7",2007-01-07,1.987,8.14,11.893,39.8350666666667,"2007-01-07 00:00:00"
"8",2007-01-08,0,0.483,18.627,38.4871333333333,"2007-01-08 00:00:00"
"9",2007-01-09,1.688,3.033,9.79,29.848,"2007-01-09 00:00:00"
"10",2007-01-10,0.771,5.733,11.012,37.1728333333333,"2007-01-10 00:00:00"
"11",2007-01-11,1.378,2.145,12.415,36.6756,"2007-01-11 00:00:00"
"12",2007-01-12,0,0.428,8.276,24.8427666666667,"2007-01-12 00:00:00"
"13",2007-01-13,6.884,3.011,10.329,48.8415,"2007-01-13 00:00:00"
"14",2007-01-14,2.699,4.19,12.908,53.8307,"2007-01-14 00:00:00"
"15",2007-01-15,1.099,0.778,16.242,34.6993666666667,"2007-01-15 00:00:00"
"16",2007-01-16,2.063,2.121,6.583,30.2031333333333,"2007-01-16 00:00:00"
"17",2007-01-17,2.945,5.722,14.98,45.8958666666667,"2007-01-17 00:00:00"
"18",2007-01-18,0.555,0.334,14.363,31.7884,"2007-01-18 00:00:00"
"19",2007-01-19,1.552,0.33,6.928,23.3746333333333,"2007-01-19 00:00:00"
"20",2007-01-20,4.875,5.243,11.896,52.9339333333333,"2007-01-20 00:00:00"
"21",2007-01-21,10.343,5.55,11.599,57.361,"2007-01-21 00:00:00"
"22",2007-01-22,1.057,2.988,11.361,35.2572666666667,"2007-01-22 00:00:00"
"23",2007-01-23,0,1.081,5.061,29.9349333333333,"2007-01-23 00:00:00"
