"","Kitchen","Laundry","WH_AC","GAP","DateTime","Date"
"1",5.857,17.54,53.113,247.887266666667,2007-01-01 01:00:00,2007-01-01
"2",13.42,19.023,83.357,269.6949,2007-01-08 00:00:00,2007-01-08
"3",23.432,20.078,82.591,276.256333333333,2007-01-15 00:00:00,2007-01-15
"4",11.478,14.941,72.062,255.117033333333,2007-01-22 00:00:00,2007-01-22
"5",11.553,16.374,95.244,284.408366666667,2007-01-29 00:00:00,2007-01-29
"6",15.107,18.719,70.725,251.867166666667,2007-02-05 00:00:00,2007-02-05
"7",14.542,20.402,73.428,257.454466666667,2007-02-12 00:00:00,2007-02-12
"8",8.628,15.806,62.605,221.925266666667,2007-02-19 00:00:00,2007-02-19
"9",1.476,10.672,24.677,92.4683333333333,2007-02-26 00:00:00,2007-02-26
"10",19.016,31.219,66.008,250.867933333333,2007-03-05 00:00:00,2007-03-05
"11",15.657,22.766,60.82,216.876033333333,2007-03-12 00:00:00,2007-03-12
"12",17.249,20.504,80.179,254.351333333333,2007-03-19 00:00:00,2007-03-19
"13",10.927,24.753,82.79,233.511066666667,2007-03-26 00:00:00,2007-03-26
"14",12.105,17.002,69.654,209.643133333333,2007-04-02 00:00:00,2007-04-02
"15",2.876,4.684,21.202,82.5527333333333,2007-04-09 00:00:00,2007-04-09
"16",16.704,7.12,46.074,148.509566666667,2007-04-16 00:00:00,2007-04-16
"17",5.623,4.954,34.056,98.6688,2007-04-23 00:00:00,2007-04-23
"18",15.519,8.334,44.658,142.6159,2007-04-30 16:24:00,2007-04-30
"19",16.276,17.413,58.779,167.8603,2007-05-07 00:00:00,2007-05-07
"20",18.865,16.777,48.317,168.899066666667,2007-05-14 00:00:00,2007-05-14
"21",18.09,21.207,53.323,171.5997,2007-05-21 00:00:00,2007-05-21
"22",17.157,15.093,49.133,161.602933333333,2007-05-28 00:00:00,2007-05-28
"23",18.236,20.388,49.581,162.3206,2007-06-04 00:00:00,2007-06-04
"24",15.843,17.522,46.86,149.464733333333,2007-06-11 00:00:00,2007-06-11
"25",3.666,8.559,26.071,85.2454,2007-06-18 00:00:00,2007-06-18
"26",13.94,18.013,46.789,141.235366666667,2007-06-25 00:00:00,2007-06-25
"27",12.384,20.852,36.858,125.546666666667,2007-07-02 00:00:00,2007-07-02
"28",7.671,9.269,41.187,114.156533333333,2007-07-09 00:00:00,2007-07-09
"29",12.401,6.734,35.203,109.379533333333,2007-07-16 00:00:00,2007-07-16
"30",6.35,18.143,31.383,108.6936,2007-07-23 00:00:00,2007-07-23
"31",7.021,0.398,45.838,105.176833333333,2007-07-30 00:00:00,2007-07-30
"32",4.748,11.699,59.247,129.195666666667,2007-08-06 00:00:00,2007-08-06
"33",4.274,11.346,51.885,123.602866666667,2007-08-13 00:00:00,2007-08-13
"34",14.163,18.63,44.857,140.4749,2007-08-20 00:00:00,2007-08-20
"35",15.064,9.786,47.601,144.714933333333,2007-08-27 00:00:00,2007-08-27
"36",13.072,20.813,52.368,154.1097,2007-09-03 00:00:00,2007-09-03
"37",7.072,12.037,43.852,139.583266666667,2007-09-10 00:00:00,2007-09-10
"38",16.5,12.272,52.07,152.008633333333,2007-09-17 00:00:00,2007-09-17
"39",10.455,27.934,58.097,196.1484,2007-09-24 00:00:00,2007-09-24
"40",12.732,29.049,62.182,199.4089,2007-10-01 00:00:00,2007-10-01
"41",11.446,21.462,54.848,194.388233333333,2007-10-08 00:00:00,2007-10-08
"42",10.157,16.769,68.548,200.322433333333,2007-10-15 00:00:00,2007-10-15
"43",8.883,13.786,56.503,185.483466666667,2007-10-28 02:00:00,2007-10-28
"44",1.346,13.958,39.344,109.3877,2007-10-29 00:00:00,2007-10-29
"45",16.269,11.744,65.313,226.653833333333,2007-11-05 00:00:00,2007-11-05
"46",14.437,18.94,83.755,250.247233333333,2007-11-12 00:00:00,2007-11-12
"47",13.407,15.633,73.116,222.080133333333,2007-11-19 00:00:00,2007-11-19
"48",16.81,27.567,82.749,268.935333333333,2007-11-26 00:00:00,2007-11-26
"49",16.094,15.245,73.09,245.6523,2007-12-03 00:00:00,2007-12-03
"50",10.503,15.614,77.874,249.579166666667,2007-12-10 00:00:00,2007-12-10
"51",12.832,16.818,82.727,258.021766666667,2007-12-17 00:00:00,2007-12-17
"52",23.215,24.539,86.078,317.982933333333,2007-12-24 00:00:00,2007-12-24
"53",0,3.456,13.104,36.3476666666667,2007-12-31 00:00:00,2007-12-31
"54",10.199,15.022,72.457,232.0623,2008-01-01 00:00:00,2008-01-01
"55",23.942,7.67,67.714,254.155666666667,2008-01-08 00:00:00,2008-01-08
"56",8.283,18.318,71.276,236.382333333333,2008-01-15 00:00:00,2008-01-15
"57",16.685,15.141,72.935,258.5561,2008-01-22 00:00:00,2008-01-22
"58",12.715,14.495,69.272,242.703533333333,2008-01-29 00:00:00,2008-01-29
"59",9.782,16.427,69.148,226.4986,2008-02-05 00:00:00,2008-02-05
"60",11.206,12.358,70.415,221.494066666667,2008-02-12 00:00:00,2008-02-12
"61",9.141,15.417,60.871,189.206133333333,2008-02-19 00:00:00,2008-02-19
"62",0,13.44,22.116,104.053933333333,2008-02-26 00:00:00,2008-02-26
"63",15.613,17.1,52.192,224.579966666667,2008-03-04 00:00:00,2008-03-04
"64",11.814,21.446,70.46,216.401666666667,2008-03-11 00:00:00,2008-03-11
"65",17.276,18.434,71.934,213.900266666667,2008-03-18 00:00:00,2008-03-18
"66",17.865,13.512,75.907,212.662733333333,2008-03-25 00:00:00,2008-03-25
"67",11.333,15.691,75.363,198.480133333333,2008-04-01 00:00:00,2008-04-01
"68",17.445,20.959,85.628,228.322066666667,2008-04-08 00:00:00,2008-04-08
"69",11.254,16.594,73.995,195.000366666667,2008-04-15 00:00:00,2008-04-15
"70",5.131,11.601,45.557,133.512266666667,2008-04-22 00:00:00,2008-04-22
"71",9.773,10.962,50.603,153.056866666667,2008-04-29 00:00:00,2008-04-29
"72",16.813,9.998,73.348,196.721966666667,2008-05-06 00:00:00,2008-05-06
"73",11.909,17.511,63.188,174.263366666667,2008-05-13 00:00:00,2008-05-13
"74",10.166,14.742,69.418,169.705633333333,2008-05-20 00:00:00,2008-05-20
"75",9.748,12.825,68.788,167.632866666667,2008-05-27 00:00:00,2008-05-27
"76",13.136,19.174,63.945,168.697266666667,2008-06-03 00:00:00,2008-06-03
"77",17.25,17.633,66.945,173.1287,2008-06-10 00:00:00,2008-06-10
"78",23.02,15.496,79.532,179.9494,2008-06-17 00:00:00,2008-06-17
"79",12.456,10.059,61.286,145.287066666667,2008-06-24 00:00:00,2008-06-24
"80",13.167,16.972,54.963,144.3822,2008-07-01 00:00:00,2008-07-01
"81",12.841,9.856,53.105,138.091166666667,2008-07-08 00:00:00,2008-07-08
"82",10.869,9.309,53.231,137.1715,2008-07-15 00:00:00,2008-07-15
"83",4.784,4.179,47.002,107.628833333333,2008-07-22 00:00:00,2008-07-22
"84",6.834,10.938,36.4,109.788166666667,2008-07-29 00:00:00,2008-07-29
"85",0.635,3.446,19.872,50.9212,2008-08-05 00:00:00,2008-08-05
"86",0,3.149,12.132,32.4127,2008-08-12 00:00:00,2008-08-12
"87",0,2.987,10.958,30.5044333333333,2008-08-19 00:00:00,2008-08-19
"88",3.006,6.36,29.014,65.1569,2008-08-26 00:00:00,2008-08-26
"89",14.763,14.128,63.318,157.354,2008-09-02 00:00:00,2008-09-02
"90",10.484,8.25,62.893,163.6412,2008-09-09 00:00:00,2008-09-09
"91",13.539,9.938,69.162,166.802133333333,2008-09-16 00:00:00,2008-09-16
"92",11.088,11.403,71.118,179.202233333333,2008-09-23 00:00:00,2008-09-23
"93",14.044,11.051,65.45,188.405366666667,2008-09-30 00:00:00,2008-09-30
"94",8.834,17.685,73.684,203.794866666667,2008-10-07 00:00:00,2008-10-07
"95",8.503,23.348,65.256,218.387266666667,2008-10-14 00:00:00,2008-10-14
"96",10.964,10.141,58.235,202.0226,2008-10-26 02:00:00,2008-10-26
"97",4.263,2.403,28.862,131.834366666667,2008-10-28 00:00:00,2008-10-28
"98",18.1,21.761,60.325,237.768766666667,2008-11-04 00:00:00,2008-11-04
"99",14.376,11.669,75.495,241.078133333333,2008-11-11 00:00:00,2008-11-11
"100",10.141,14.274,70.006,253.197333333333,2008-11-18 00:00:00,2008-11-18
"101",15.572,7.484,77.147,250.111933333333,2008-11-25 00:00:00,2008-11-25
"102",11.469,7.523,78.104,236.869966666667,2008-12-02 00:00:00,2008-12-02
"103",11.95,10.267,68.262,215.808466666667,2008-12-09 00:00:00,2008-12-09
"104",11.394,17.118,83.11,238.356133333333,2008-12-16 00:00:00,2008-12-16
"105",6.234,3.754,49.852,176.799333333333,2008-12-23 00:00:00,2008-12-23
"106",2.975,0.459,19.005,52.3435333333333,2008-12-30 00:00:00,2008-12-30
"107",15.013,19.87,59.419,216.008233333333,2009-01-01 00:00:00,2009-01-01
"108",15.34,11.082,76.428,217.818666666667,2009-01-08 00:00:00,2009-01-08
"109",18.935,16.184,86.666,266.204566666667,2009-01-15 00:00:00,2009-01-15
"110",15.463,18.676,70.641,233.640566666667,2009-01-22 00:00:00,2009-01-22
"111",15.963,15.865,85.805,244.753233333333,2009-01-29 00:00:00,2009-01-29
"112",19.607,16.203,91.659,255.0057,2009-02-05 00:00:00,2009-02-05
"113",6.955,4.87,69.454,175.008366666667,2009-02-12 00:00:00,2009-02-12
"114",12.174,15.02,56.022,197.762233333333,2009-02-19 00:00:00,2009-02-19
"115",17.876,11.772,66.613,206.8868,2009-02-26 00:00:00,2009-02-26
"116",15.463,14.514,78.637,220.708666666667,2009-03-05 00:00:00,2009-03-05
"117",8.988,10.785,84.204,202.433266666667,2009-03-12 00:00:00,2009-03-12
"118",13.555,9.027,64.953,183.124766666667,2009-03-19 00:00:00,2009-03-19
"119",13.869,10.558,70.739,205.969133333333,2009-03-26 00:00:00,2009-03-26
"120",11.175,8.694,72.448,183.051933333333,2009-04-02 00:00:00,2009-04-02
"121",19.68,17.41,78.95,210.908966666667,2009-04-09 00:00:00,2009-04-09
"122",9.583,12.833,67.343,188.629033333333,2009-04-16 00:00:00,2009-04-16
"123",10.234,9.295,66.894,178.381166666667,2009-04-23 00:00:00,2009-04-23
"124",9.287,13.769,74.323,187.1153,2009-04-30 00:00:00,2009-04-30
"125",11.071,11.987,68.454,173.8143,2009-05-07 00:00:00,2009-05-07
"126",10.704,14.368,72.553,179.828133333333,2009-05-14 00:00:00,2009-05-14
"127",6.222,8.958,74.217,160.751966666667,2009-05-21 00:00:00,2009-05-21
"128",11.042,5.352,67.568,150.131533333333,2009-05-28 00:00:00,2009-05-28
"129",8.279,10.877,64.531,149.309966666667,2009-06-04 00:00:00,2009-06-04
"130",5.918,3.118,45.043,95.2915333333333,2009-06-11 00:00:00,2009-06-11
"131",6.082,6.951,67.398,131.8124,2009-06-18 00:00:00,2009-06-18
"132",8.343,7.097,61.309,137.665733333333,2009-06-25 00:00:00,2009-06-25
"133",8.513,12.831,52.144,133.6081,2009-07-02 00:00:00,2009-07-02
"134",5.15,6.641,40.827,95.976,2009-07-09 00:00:00,2009-07-09
"135",0.914,6.16,37.695,93.9448,2009-07-16 00:00:00,2009-07-16
"136",1.795,10.57,36.992,86.6404,2009-07-23 00:00:00,2009-07-23
"137",0.865,9.036,32.646,75.6620666666667,2009-07-30 00:00:00,2009-07-30
"138",3.292,10.22,34.527,88.9504333333333,2009-08-06 00:00:00,2009-08-06
"139",10.349,10.583,40.31,115.582366666667,2009-08-13 00:00:00,2009-08-13
"140",14.086,8.77,51.558,130.8949,2009-08-20 00:00:00,2009-08-20
"141",7.243,6.689,60.163,140.165833333333,2009-08-27 00:00:00,2009-08-27
"142",10.966,11.555,59.043,146.011,2009-09-03 00:00:00,2009-09-03
"143",20.802,7.684,71.039,178.0518,2009-09-10 00:00:00,2009-09-10
"144",11.741,9.936,78.393,184.467933333333,2009-09-17 00:00:00,2009-09-17
"145",6.654,15.437,71.369,162.521166666667,2009-09-24 00:00:00,2009-09-24
"146",9.994,11.16,70.444,173.731633333333,2009-10-01 00:00:00,2009-10-01
"147",13.686,12.434,74.77,189.472033333333,2009-10-08 00:00:00,2009-10-08
"148",12.175,12.61,77.423,205.653266666667,2009-10-15 00:00:00,2009-10-15
