"","Date","Kitchen","Laundry","WH_AC","GAP_cost"
"1",2007-01-01,0,0.352,5.88,6.40455596666667
"2",2007-01-02,0,0.341,6.562,3.039519
"3",2007-01-03,0,0.316,4.247,2.3036136
"4",2007-01-04,1.051,7.617,11.414,7.90654583333333
"5",2007-01-05,1.483,0.394,6.53,6.38090576666667
"6",2007-01-06,1.336,0.38,6.587,3.8996636
"7",2007-01-07,1.987,8.14,11.893,5.80941453333333
"8",2007-01-08,0,0.483,18.627,5.60697606666667
"9",2007-01-09,1.688,3.033,9.79,4.51534766666667
"10",2007-01-10,0.771,5.733,11.012,5.6283065
"11",2007-01-11,1.378,2.145,12.415,5.56244513333333
"12",2007-01-12,0,0.428,8.276,3.7619113
"13",2007-01-13,6.884,3.011,10.329,7.397127
"14",2007-01-14,2.699,4.19,12.908,7.82385216666667
"15",2007-01-15,1.099,0.778,16.242,5.19412326666667
"16",2007-01-16,2.063,2.121,6.583,4.4852514
"17",2007-01-17,2.945,5.722,14.98,6.84846243333333
"18",2007-01-18,0.555,0.334,14.363,4.80756453333333
"19",2007-01-19,1.552,0.33,6.928,3.53413456666667
"20",2007-01-20,4.875,5.243,11.896,7.7581373
"21",2007-01-21,10.343,5.55,11.599,8.49971883333333
"22",2007-01-22,1.057,2.988,11.361,5.3068368
"23",2007-01-23,0,1.081,5.061,4.5877688
"24",2007-01-24,3.464,2.48,11.323,7.28524326666667
"25",2007-01-25,1.158,0.262,11.015,3.9834571
"26",2007-01-26,0.587,0.236,8.346,3.91964066666667
"27",2007-01-27,1.746,3.148,12.766,4.7866352
"28",2007-01-28,3.466,4.746,12.19,7.94048256666667
"29",2007-01-29,1.123,0.293,14.594,4.74236203333333
"30",2007-01-30,1.123,1.389,8.809,4.39848713333333
"31",2007-01-31,0,5.987,15.052,5.84983356666667
"32",2007-02-01,1.17,0.396,12.06,4.45078446666667
"33",2007-02-02,0,0.361,11.366,3.8638451
"34",2007-02-03,4.746,4.571,17.826,9.80058146666667
"35",2007-02-04,3.391,3.377,15.537,8.69407866666667
"36",2007-02-05,0.896,3.751,7.849,4.3461264
"37",2007-02-06,1.185,0.44,4.517,3.1331902
"38",2007-02-07,2.731,3.521,11.986,5.63522113333333
"39",2007-02-08,2.794,0.341,9.717,4.57381183333333
"40",2007-02-09,0,2.972,10.21,4.0821739
"41",2007-02-10,5.071,2.912,13.935,6.70858296666667
"42",2007-02-11,2.43,4.782,12.511,8.87398156666667
"43",2007-02-12,2.227,0.393,11.958,4.7515727
"44",2007-02-13,0,2.796,5.959,3.4944946
"45",2007-02-14,3.295,3.805,12.508,6.21046533333333
"46",2007-02-15,0,2.323,12.934,4.79818456666667
"47",2007-02-16,1.148,0.918,8.71,4.19397163333333
"48",2007-02-17,1.765,2.188,8.23,4.80863343333333
"49",2007-02-18,6.107,7.979,13.129,9.8369433
"50",2007-02-19,1.634,2.939,13.085,5.2317341
"51",2007-02-20,2.058,3.727,9.713,7.7114334
"52",2007-02-21,3.062,3.809,10.462,5.07053616666667
"53",2007-02-22,1.874,2.8,12.28,8.22141636666667
"54",2007-02-23,0,1.813,11.843,3.53123216666667
"55",2007-02-24,0,0.363,3.562,1.8339814
"56",2007-02-25,0,0.355,1.66,1.1671358
"57",2007-02-26,0,0.341,2.485,1.32539723333333
"58",2007-02-27,0,0.307,2.269,1.31477486666667
"59",2007-02-28,0,0.343,1.973,1.27563963333333
"60",2007-03-01,0,0.318,1.98,1.19737333333333
"61",2007-03-02,0,0.309,1.969,1.1876925
"62",2007-03-03,0,0.347,4.597,1.9953558
"63",2007-03-04,1.476,8.707,9.404,5.18566196666667
"64",2007-03-05,5.727,12.126,10.03,6.62895503333333
"65",2007-03-06,0,1.76,4.388,3.03282263333333
"66",2007-03-07,1.076,4.676,15.591,5.90066196666667
"67",2007-03-08,2.18,3.433,6.713,4.04363843333333
"68",2007-03-09,1.093,0.382,8.807,3.10879963333333
"69",2007-03-10,4.13,5.422,10.446,5.82357993333333
"70",2007-03-11,4.81,3.42,10.033,8.626732
"71",2007-03-12,1.403,2.802,12.272,4.9939049
"72",2007-03-13,1.35,3.351,4.68,3.0303151
"73",2007-03-14,3.189,1.027,9.331,4.56561053333333
"74",2007-03-15,0.296,3.263,11.036,4.74469593333333
"75",2007-03-16,1.106,4.569,5.37,4.20569993333333
"76",2007-03-17,2.208,0.383,12.275,5.18536343333333
"77",2007-03-18,6.105,7.371,5.856,5.88934493333333
"78",2007-03-19,2.107,2.68,14.118,5.36229086666667
"79",2007-03-20,3.745,2.815,10.185,5.2759471
"80",2007-03-21,1.575,3.032,13.052,5.16569556666667
"81",2007-03-22,0.643,1.874,9.737,3.84830226666667
"82",2007-03-23,1.127,0.493,9.447,3.38610506666667
"83",2007-03-24,3.095,6.071,15.332,6.84112573333333
"84",2007-03-25,4.957,3.539,8.308,8.07145103333333
"85",2007-03-26,0.851,0.401,11.196,3.9029513
"86",2007-03-27,0.522,2.964,3.697,2.8205765
"87",2007-03-28,1.122,8.205,13.286,5.61397656666667
"88",2007-03-29,0.56,0.831,9.712,3.87122453333333
"89",2007-03-30,1.174,0.447,9.469,3.7094184
"90",2007-03-31,3.131,7.657,15.918,8.2040754
"91",2007-04-01,3.567,4.248,19.512,6.59179716666667
"92",2007-04-02,1.834,1.886,16.643,5.01434653333333
"93",2007-04-03,3.487,1.315,8.555,4.3880375
"94",2007-04-04,3.996,0.465,15.183,5.14412383333333
"95",2007-04-05,1.125,4.202,9.148,4.67728463333333
"96",2007-04-06,0.536,4.374,11.309,4.1368821
"97",2007-04-07,1.127,4.28,3.837,3.44161996666667
"98",2007-04-08,0,0.48,4.979,4.47982816666667
"99",2007-04-09,2.142,0.486,4.453,2.51346843333333
"100",2007-04-10,0.734,0.611,1.329,1.63033906666667
"101",2007-04-11,0,1.279,6.983,2.39515176666667
"102",2007-04-12,0,0.523,2.225,1.37571606666667
"103",2007-04-13,0,0.547,1.463,1.25952566666667
"104",2007-04-14,0,0.555,1.792,1.31613513333333
"105",2007-04-15,0,0.683,2.957,1.58249473333333
"106",2007-04-16,0.44,1.68,4.935,2.37662546666667
"107",2007-04-17,2.044,0.38,5.997,3.04490416666667
"108",2007-04-18,1.579,0.366,4.304,2.64678323333333
"109",2007-04-19,0.733,1.604,5.748,2.71416856666667
"110",2007-04-20,0.526,0.347,3.499,1.89162943333333
"111",2007-04-21,6.825,0.467,9.934,3.98282216666667
"112",2007-04-22,4.557,2.276,11.657,5.59267366666667
"113",2007-04-23,1.402,0.494,6.645,2.93871346666667
"114",2007-04-24,0.621,0.536,6.68,2.48624513333333
"115",2007-04-25,0.504,1.204,7.428,2.8917328
"116",2007-04-26,1.324,2.098,8.547,3.3906194
"117",2007-04-27,1.772,0.565,3.772,2.58228786666667
"118",2007-04-28,0,0.057,0.984,1.48932143333333
"119",2007-04-29,0,0,0,0.932832
"120",2007-04-30,0.716,0.438,1.131,1.4627931
"121",2007-05-01,4.503,0.977,7.158,3.8809884
"122",2007-05-02,0,1.299,5.142,2.5450339
"123",2007-05-03,1.52,1.937,5.811,2.67524096666667
"124",2007-05-04,1.866,0.575,5.324,2.61092073333333
"125",2007-05-05,3.19,2.456,9.983,3.68800526666667
"126",2007-05-06,3.724,0.652,10.109,4.9988012
"127",2007-05-07,0.946,5.249,11.139,4.42032753333333
"128",2007-05-08,4.115,2.001,7.904,4.094377
"129",2007-05-09,2.957,5.645,9.733,4.2817176
"130",2007-05-10,1.473,0.514,4.166,2.06880046666667
"131",2007-05-11,0.579,0.518,5.934,2.23985523333333
"132",2007-05-12,2.594,1.062,10.763,3.67124136666667
"133",2007-05-13,3.612,2.424,9.14,3.91986586666667
"134",2007-05-14,2.646,2.184,4.89,3.4605416
