"","year","week","Kitchen","Laundry","WH_AC","GAP"
"1",2007,1,5.857,17.54,53.113,247.887266666667
"2",2007,2,13.42,19.023,83.357,269.6949
"3",2007,3,23.432,20.078,82.591,276.256333333333
"4",2007,4,11.478,14.941,72.062,255.117033333333
"5",2007,5,11.553,16.374,95.244,284.408366666667
"6",2007,6,15.107,18.719,70.725,251.867166666667
"7",2007,7,14.542,20.402,73.428,257.454466666667
"8",2007,8,8.628,15.806,62.605,221.925266666667
"9",2007,9,1.476,10.672,24.677,92.4683333333333
"10",2007,10,19.016,31.219,66.008,250.867933333333
"11",2007,11,15.657,22.766,60.82,216.876033333333
"12",2007,12,17.249,20.504,80.179,254.351333333333
"13",2007,13,10.927,24.753,82.79,233.511066666667
"14",2007,14,12.105,17.002,69.654,209.643133333333
"15",2007,15,2.876,4.684,21.202,82.5527333333333
"16",2007,16,16.704,7.12,46.074,148.509566666667
"17",2007,17,5.623,4.954,34.056,98.6688
"18",2007,18,15.519,8.334,44.658,142.6159
"19",2007,19,16.276,17.413,58.779,167.8603
"20",2007,20,18.865,16.777,48.317,168.899066666667
"21",2007,21,18.09,21.207,53.323,171.5997
"22",2007,22,17.157,15.093,49.133,161.602933333333
"23",2007,23,18.236,20.388,49.581,162.3206
"24",2007,24,15.843,17.522,46.86,149.464733333333
"25",2007,25,3.666,8.559,26.071,85.2454
"26",2007,26,13.94,18.013,46.789,141.235366666667
"27",2007,27,12.384,20.852,36.858,125.546666666667
"28",2007,28,7.671,9.269,41.187,114.156533333333
"29",2007,29,12.401,6.734,35.203,109.379533333333
"30",2007,30,6.35,18.143,31.383,108.6936
"31",2007,31,7.021,0.398,45.838,105.176833333333
"32",2007,32,4.748,11.699,59.247,129.195666666667
"33",2007,33,4.274,11.346,51.885,123.602866666667
"34",2007,34,14.163,18.63,44.857,140.4749
"35",2007,35,15.064,9.786,47.601,144.714933333333
"36",2007,36,13.072,20.813,52.368,154.1097
"37",2007,37,7.072,12.037,43.852,139.583266666667
"38",2007,38,16.5,12.272,52.07,152.008633333333
"39",2007,39,10.455,27.934,58.097,196.1484
"40",2007,40,12.732,29.049,62.182,199.4089
"41",2007,41,11.446,21.462,54.848,194.388233333333
"42",2007,42,10.157,16.769,68.548,200.322433333333
"43",2007,43,8.883,13.786,56.503,185.483466666667
"44",2007,44,1.346,13.958,39.344,109.3877
"45",2007,45,16.269,11.744,65.313,226.653833333333
"46",2007,46,14.437,18.94,83.755,250.247233333333
"47",2007,47,13.407,15.633,73.116,222.080133333333
"48",2007,48,16.81,27.567,82.749,268.935333333333
"49",2007,49,16.094,15.245,73.09,245.6523
"50",2007,50,10.503,15.614,77.874,249.579166666667
"51",2007,51,12.832,16.818,82.727,258.021766666667
"52",2007,52,23.215,24.539,86.078,317.982933333333
"53",2007,53,0,3.456,13.104,36.3476666666667
"54",2008,1,10.199,15.022,72.457,232.0623
"55",2008,2,23.942,7.67,67.714,254.155666666667
"56",2008,3,8.283,18.318,71.276,236.382333333333
"57",2008,4,16.685,15.141,72.935,258.5561
"58",2008,5,12.715,14.495,69.272,242.703533333333
"59",2008,6,9.782,16.427,69.148,226.4986
"60",2008,7,11.206,12.358,70.415,221.494066666667
"61",2008,8,9.141,15.417,60.871,189.206133333333
"62",2008,9,0,13.44,22.116,104.053933333333
"63",2008,10,15.613,17.1,52.192,224.579966666667
"64",2008,11,11.814,21.446,70.46,216.401666666667
"65",2008,12,17.276,18.434,71.934,213.900266666667
"66",2008,13,17.865,13.512,75.907,212.662733333333
"67",2008,14,11.333,15.691,75.363,198.480133333333
"68",2008,15,17.445,20.959,85.628,228.322066666667
"69",2008,16,11.254,16.594,73.995,195.000366666667
"70",2008,17,5.131,11.601,45.557,133.512266666667
"71",2008,18,9.773,10.962,50.603,153.056866666667
"72",2008,19,16.813,9.998,73.348,196.721966666667
"73",2008,20,11.909,17.511,63.188,174.263366666667
"74",2008,21,10.166,14.742,69.418,169.705633333333
"75",2008,22,9.748,12.825,68.788,167.632866666667
